detector,n,spearman_d_text,spearman_d_token,spearman_d_ast
LLMSniffer,360,0.3028543560459799,0.14765619322396872,0.026421716625612907
DroidDetect-Base,360,0.2178820922312173,0.07199501042150497,-0.2044498565254288
DetectCodeGPT,360,0.05325380023247701,0.006181068107721843,-0.0699964649950955
