language,family,n_4class_correct,induced_4class,ier_4class,ci_lo_4class,ci_hi_4class,n_2class_correct,induced_2class,ier_2class,ci_lo_2class,ci_hi_2class,intra_ai_churn_only_flips
Java,control_flow,14,1,0.07142857142857142,0.012721886112291636,0.3146926955395781,16,1,0.0625,0.01111905730833121,0.2832926836802987,0
Java,formatting,54,13,0.24074074074074073,0.14644154703850742,0.36947779129238245,63,7,0.1111111111111111,0.05487478965589834,0.21204880283739927,6
Java,lexical_rename,71,2,0.028169014084507043,0.007759100870383076,0.09701685261003423,82,1,0.012195121951219513,0.0021559365709651473,0.0658949851266733,1
Python,control_flow,26,1,0.038461538461538464,0.0068218089769898765,0.18893176991958405,26,0,0.0,0.0,0.12873304380462175,1
Python,formatting,83,29,0.3493975903614458,0.25555971692976304,0.45655982025057457,92,24,0.2608695652173913,0.18202097082654678,0.3588881959653265,5
Python,lexical_rename,73,3,0.0410958904109589,0.01407368523428873,0.1140027733506444,80,0,0.0,0.0,0.0458197362645751,3
